id,name,type
2061963,Number 104: Masquerade,XYZ Monster
2091298,Constellar Praesepe,XYZ Monster
2111707,XY-Dragon Cannon,Fusion Monster
2129638,Blue-Eyes Twin Burst Dragon,Fusion Monster
2133971,Union Controller,Fusion Monster
2191144,Night Papilloperative,XYZ Monster
2203790,XX-Saber Hyunlei,Synchro Monster
2220237,Secure Gardna,Link Monster
2322421,Road Warrior,Synchro Monster
2368215,Abyss Actor - Hyper Director,Link Monster
2403771,Power Tool Dragon,Synchro Monster
2405631,"Guoglim, Spear of the Ghoti",Synchro Monster
2407234,Number 69: Heraldry Crest,XYZ Monster
2411269,Agave Dragon,Link Monster
2463794,Fiendsmith's Requiem,Link Monster
2504891,Skull Knight,Fusion Monster
2519690,Sky Galloping Gaia the Dragon Champion,Fusion Monster
2530830,Galaxy-Eyes Cipher Blade Dragon,XYZ Monster
2609443,Chronomaly Vimana,XYZ Monster
2645637,"Yuki-Onna, the Absolute Zero Mayakashi",Link Monster
2665273,"Jormungandr, Generaider Boss of Eternity",XYZ Monster
2725599,Rescue-ACE Arbitrator,Link Monster
2743001,Crystron Phoenix,Synchro Monster
2766877,Daigusto Phoenix,XYZ Monster
2772236,Wattchimera,Synchro Monster
2772337,"Promethean Princess, Bestower of Flames",Link Monster
2815176,"Zebufera, Vaalmonican Hallow Heathen",Link Monster
2834264,Beetrooper Armor Horn,Link Monster
2857636,Knightmare Phoenix,Link Monster
2896663,ZW - Dragonic Halberd,XYZ Monster
2956282,Naturia Barkion,Synchro Monster
2978414,Number 46: Dragluon,XYZ Monster
3040496,"Chaos Ruler, the Chaotic Magical Dragon",Synchro Monster
3113836,Gem-Knight Seraphinite,Fusion Monster
3134857,Orcustrion,Link Monster
3149401,Ultimate Dragon of Pride and Soul,Fusion Monster
3287359,Magical Musket Mastermind Caspar,Link Monster
3292267,Hieratic Sky Dragon Overlord of Heliopolis,XYZ Monster
3294539,Crimson Blade Dragon,Synchro Monster
3322931,Stellar Wind Wolfrayet,Synchro Monster
3356494,Galaxy-Eyes Solflare Dragon,Link Monster
3366982,Alligator's Sword Dragon,Fusion Monster
3410461,Alba-Lenatus the Abyss Dragon,Fusion Monster
3429238,Drill Warrior,Synchro Monster
3486020,"Yoko, the Graceful Mayakashi",Synchro Monster
3507053,Appliancer Dryer Drake,Link Monster
3544583,Allvain the Essence of Vanity,Fusion Monster
3594985,Majespecter Draco - Ryu,XYZ Pendulum Effect Monster
3642509,Elemental HERO Great Tornado,Fusion Monster
3679218,Knightmare Mermaid,Link Monster
3685372,CXyz Gimmick Puppet Fanatix Machinix,XYZ Monster
3743515,Steamed Sabersaurus,XYZ Monster
3758046,D/D/D Wave King Caesar,XYZ Monster
3779493,Night's End Administrator,Synchro Monster
3779662,Gladiator Beast Andabata,Fusion Monster
3790062,Number 65: Djinn Buster,XYZ Monster
3792766,Trickstar Delfiendium,Link Monster
3814632,Skypalace Gangaridai,XYZ Monster
3828844,Rikka Queen Strenna,XYZ Monster
3897065,Super Vehicroid - Stealth Union,Fusion Monster
3957130,Trisborrel Dragon,Link Monster
3966653,Flower Cardian Boardefly,Synchro Monster
3987233,Missus Radiant,Link Monster
3989465,Lavalval Ignis,XYZ Monster
4019153,Number 4: Numeron Gate Catvari,XYZ Monster
4026187,Teller of Fairy Tails,Fusion Monster
4079728,Gung-Ho! Springans!,XYZ Monster
4103668,"Tengu, the Winged Mayakashi",Synchro Monster
4167084,The First Darklord,Fusion Monster
4179255,Ancient Pixie Dragon,Synchro Monster
4280258,"Apollousa, Bow of the Goddess",Link Monster
4290468,Splendid Rose,Synchro Monster
4423206,M-X-Saber Invoker,XYZ Monster
4478086,Clock Spartoi,Link Monster
4591250,Amazoness Empress,Fusion Monster
4628897,Imperion Magnum the Superconductive Battlebot,Fusion Monster
4688231,Metalfoes Mithrilium,Fusion Monster
4709881,Auram the World Chalice Blademaster,Link Monster
4729591,Appliancer Kappa Scale,Link Monster
4731783,"A Bao A Qu, the Lightless Shadow",Link Monster
4779823,"Michael, the Arch-Lightsworn",Synchro Monster
4796100,Chimera the Flying Mythical Beast,Fusion Monster
4891376,Zalen the Shackled Dragon,Synchro Tuner Monster
4914353,Space Insulator,Link Monster
4965193,"Chasma, Dragon Ruler of Auroras",XYZ Monster
4993187,W:P Fancy Ball,Link Monster
4997565,Number 3: Cicada King,XYZ Monster
5014629,Submersible Carrier Aero Shark,XYZ Monster
5041348,Draco Berserker of the Tenyi,Synchro Monster
5043010,Firewall Dragon,Link Monster
5088741,Code Igniter,XYZ Monster
5128859,Elemental HERO Marine Neos,Fusion Monster
5148778,Starving Venom Wing Dragon,Pendulum Effect Fusion Monster
5309481,Revived King Ha Des,Synchro Monster
5329790,Protocol Gardna,Link Monster
5368615,Steam Gyroid,Fusion Monster
5402805,Berserker of the Tenyi,Link Monster
5524387,Marincess Marbled Rock,Link Monster
5530780,Exosister Gibrine,XYZ Monster
5600127,Humanoid Worm Drake,Fusion Monster
5614808,White Aura Whale,Synchro Monster
5772618,Hi-Speedroid Kitedrake,Synchro Monster
5800323,Poplar of the White Forest,Synchro Tuner Monster
5821478,Topologic Bomber Dragon,Link Monster
5829717,Dark Magician the Knight of Dragon Magic,Fusion Monster
5848934,Serene Psychic Sorceress,Synchro Monster
5914858,Junora the Power Patron of Tuning,Synchro Monster
5916510,Starring Knight,XYZ Monster
6021033,Doomkaiser Dragon,Synchro Monster
6150044,Arcana Knight Joker,Fusion Monster
6165656,Number C88: Gimmick Puppet Disaster Leo,XYZ Monster
6182103,Myutant Ultimus,Fusion Monster
6195332,Exstellarknight Constellar Ptolemy Ω7,XYZ Monster
6218704,Odd-Eyes Arcray Dragon,Pendulum Effect Fusion Monster
6247535,Borreload eXcharge Dragon,XYZ Monster
6260560,Laevateinn the Burning Blade,Link Monster
6284176,Kanzashi the Rikka Queen,XYZ Monster
6387204,Number C6: Chronomaly Chaos Atlandis,XYZ Monster
6511113,Traptrix Rafflesia,XYZ Monster
6560411,Bramble Rose Dragon,Synchro Monster
6568731,Glacial Beast Iceberg Narwhal,Synchro Monster
6588580,Thermal Genex,Synchro Monster
6602300,"Blaze Fenix, the Burning Bombardment Bird",Fusion Monster
6622715,Encode Talker,Link Monster
6636319,Evil★Twin Ki-sikil Deal,Link Monster
6659193,Performage Trapeze High Magician,XYZ Monster
6766208,D/D/D Gust High King Alexander,Synchro Monster
6821579,R.B. VALCan Booster,Link Monster
6840573,Barox,Fusion Monster
6855503,Masquerade the Blazing Dragon,Fusion Monster
6906306,"Rubysapphirus, the Adamant Jewel",XYZ Monster
6908161,Ragnaraika Chain Coils,Link Monster
6983839,Tornado Dragon,XYZ Monster
7020743,Tantrum Toddler,XYZ Monster
7194917,Number 52: Diamond Crab King,XYZ Monster
7243511,Koalo-Koala,Fusion Monster
7382007,Gouki Sheik Ogre,Link Monster
7391448,Goyo Guardian,Synchro Monster
7480763,Artifact Dagda,Link Monster
7511613,Ryzeal Duo Drive,XYZ Monster
7582066,Psychic Nightmare,Synchro Monster
7593748,Gimmick Puppet Gigantes Doll,XYZ Monster
7628844,Number C32: Shark Drake LeVeiss,XYZ Monster
7631534,Dual Avatar Feet - Armored Un-Gyo,Fusion Monster
7778726,Hip Hoshiningen,Link Monster
7782069,Gouki The Tyrant Ogre,Fusion Monster
7841112,Majestic Star Dragon,Synchro Monster
7984540,Sunavalon Daphne,Link Monster
8165596,Number 90: Galaxy-Eyes Photon Lord,XYZ Monster
8173184,Repair Genex Controller,Link Monster
8198620,Dragonecro Nethersoul Dragon,Fusion Monster
8252010,X-Saber Gottoms,Synchro Monster
8264361,"Dharc the Dark Charmer, Gloomy",Link Monster
8310162,Malefic Paradox Dragon,Synchro Monster
8327462,Skullbird,Fusion Monster
8387138,Number 27: Dreadnought Dreadnoid,XYZ Monster
8463720,D/D/D Dragonbane King Beowulf,Fusion Monster
8491308,Sky Striker Ace - Hayate,Link Monster
8491961,Lyrilusc - Recital Starling,XYZ Monster
8505920,Gate Guardians Combined,Fusion Monster
8540986,Veidos the Dragon of Endless Darkness,Fusion Monster
8561192,"Leo, the Keeper of the Sacred Tree",Synchro Monster
8602351,Reptilianne Echidna,Link Monster
8611007,Lavalval Dragun,Synchro Monster
8617563,Raidraptor - Brave Strix,XYZ Monster
8660395,"Ninaruru, the Magistus Glass Goddess",XYZ Monster
8690387,Earthbound Servant Geo Gremlin,Synchro Monster
8692301,Gem-Knight Zirconia,Fusion Monster
8728498,"Donner, Dagger Fur Hire",Link Monster
8763963,Beelzeus of the Diabolic Dragons,Synchro Monster
8802510,PSY-Framelord Lambda,Link Monster
8809344,Outer Entity Nyarla,XYZ Monster
8841431,Centur-Ion Primera Primus,Synchro Tuner Monster
8852158,Reeshaddoll Wendikurhu,Fusion Monster
8963089,Heosvarog the Mechanical Dawn,Fusion Monster
9012916,Black-Winged Dragon,Synchro Monster
9024198,D/D/D Abyss King Gilgamesh,Link Monster
9053187,Gagagigo the Risen,XYZ Monster
9061682,Fabled Andwraith,Synchro Monster
9161357,Number 6: Chronomaly Atlandis,XYZ Monster
9205573,Evil★Twin Ki-sikil,Link Monster
9272381,Stellarknight Constellar Diamond,XYZ Monster
9293977,Metal Dragon,Fusion Monster
9348522,Cloudcastle,Synchro Monster
9349094,"Sacred Tree Beast, Hyperyton",XYZ Monster
9453320,"Abysstrite, the Atlantean Spirit",XYZ Monster
9464441,Adamancipator Risen - Dragite,Synchro Monster
9486959,Onibimaru Soul Sweeper,XYZ Monster
9551692,Master of Ham,Fusion Monster
9567495,Dragon Gate,XYZ Monster
9603252,Witchcrafter Vice-Madame,Fusion Monster
9608555,Salamangreat Blaze Dragon,XYZ Monster
9617996,Crusadia Regulex,Link Monster
9634146,Signal Warrior,Synchro Monster
9653271,Kaminari Attack,Fusion Monster
9709452,"Gaia Blaze, the Force of the Sun",Synchro Monster
9753964,Hot Red Dragon Archfiend Abyss,Synchro Monster
9763474,Haggard Lizardose,Link Monster
9785661,Azamina Sol Erysichthon,Fusion Monster
9839115,Vagnawa the Moon-Eating Dragon,Synchro Monster
9839945,"Lyna the Light Charmer, Lustrous",Link Monster
9888196,Ally of Justice Decisive Armor,Synchro Monster
9910360,D.3.S. Frog,Fusion Monster
9940036,Mereologic Aggregator,XYZ Monster
10000030,Magi Magi ☆ Magician Gal,XYZ Monster
10002346,Gachi Gachi Gantetsu,XYZ Monster
10019086,Tri-Brigade Arms Bucephalus II,Link Monster
10040267,Fossil Machine Skull Buggy,Fusion Monster
10136446,Darklord Eveningstar,Fusion Monster
10140443,Salamangreat Burst Gryphon,Synchro Monster
10248389,Cyber Blader,Fusion Monster
10300821,Number C79: Battlin' Boxer General Kaiser,XYZ Monster
10365322,Ignition Beast Volcannon,Fusion Monster
10383554,Frightfur Leo,Fusion Monster
10389142,Number 42: Galaxy Tomahawk,XYZ Monster
10406322,"Alsei, the Sylvan High Protector",XYZ Monster
10443957,Cyber Dragon Infinity,XYZ Monster
10515412,Lightstorm Dragon,Synchro Monster
10526791,Elemental HERO Wildedge,Fusion Monster
10547580,Ancient Gear Ballista,Link Monster
10552026,Gouki Heel Ogre,Link Monster
10602628,Blackwing - Boreastorm the Wicked Wind,Synchro Tuner Monster
10613952,Sacred Noble Knight of King Artorigus,XYZ Monster
10666000,Number 1: Infection Buzzking,XYZ Monster
10669138,Five-Headed Link Dragon,Link Monster
10678778,Aegaion the Sea Castrum,XYZ Monster
10732060,Hi-Speedroid Glider #2,Synchro Tuner Monster
10755984,Daigusto Eguls,Synchro Monster
10796448,Ace★Spades Speculation,Fusion Monster
10817524,First of the Dragons,Fusion Monster
10920352,Masked HERO Vapor,Fusion Monster
10960419,Time Magic Hammer,Fusion Monster
11039171,Frightfur Wolf,Fusion Monster
11132674,"Gigantic ""Champion"" Sargas",XYZ Monster
11270236,Invoked Elysium,Fusion Monster
11321089,Guardian Chimera,Fusion Monster
11398059,King of the Feral Imps,XYZ Monster
11411223,Number 10: Illumiknight,XYZ Monster
11441009,P.U.N.K. JAM FEVER!,XYZ Monster
11443677,Blue-Eyes Tyrant Dragon,Fusion Monster
11464648,Fiendsmith's Rextremende,Fusion Monster
11502550,Elemental HERO Air Neos,Fusion Monster
11510448,Zoodiac Tigermortar,XYZ Monster
11516241,Gouki The Powerload Ogre,Link Monster
11522979,Number C69: Heraldry Crest of Horror,XYZ Monster
11646785,Super Quantal Mech Beast Aeroboros,XYZ Monster
11674673,Cyberse Witch,Link Monster
11738489,The Arrival Cyberse @Ignister,Link Monster
11765832,"Garura, Wings of Resonant Life",Fusion Monster
11790356,Buster Dragon,Synchro Monster
11825276,Meizen the Battle Ninja,Fusion Monster
11852093,D/D/D Alfred the Divine Sage King,Fusion Monster
11901678,Black Skull Dragon,Fusion Monster
11969228,Dragunity Knight - Romulus,Link Monster
12014404,Gagaga Cowboy,XYZ Monster
12015000,Fossil Dragon Skullgar,Fusion Monster
12018201,Lavalval Exlord,Synchro Monster
12023931,Booster Dragon,Link Monster
12067160,Gorgon of Zilofthonia,Link Monster
12081875,Thunder Dragon Thunderstormech,Link Monster
12172567,Mind Castlin,Synchro Monster
12219047,The Phantom Knights of Cursed Javelin,XYZ Monster
12307878,Invoked Purgatrio,Fusion Monster
12381100,Dragon Master Magia,Fusion Monster
12421694,Sky Striker Ace - Kaina,Link Monster
12450071,Proxy F Magician,Link Monster
12496261,Dragunity Knight - Luin,Synchro Tuner Monster
12501230,Combat Wheel,Synchro Monster
12533811,Baby Tiragon,XYZ Monster
12615446,Digital Bug Scaradiator,XYZ Monster
12632096,Neo Galaxy-Eyes Cipher Dragon,XYZ Monster
12652643,Ultimate Ancient Gear Golem,Fusion Monster
12678870,Ritual Beast Ulti-Pettlephin,Fusion Monster
12686296,Arcana Force EX - The Chaos Ruler,Fusion Monster
12744567,Number C101: Silent Honor DARK,XYZ Monster
12890860,Denial Deity Dotan,Fusion Monster
12948099,Old Entity Cthugua,Synchro Monster
12954226,Circle of the Fairies,Synchro Monster
12986807,Laval the Greater,Synchro Monster
13023431,"Chevreuil, Hunting Scout of the Deep Forest",Fusion Monster
13030280,CXyz Comics Hero Legend Arthur,XYZ Monster
13076804,Chaos Archfiend,Synchro Monster
13108445,Gem-Knight Aquamarine,Fusion Monster
13117073,Barricadeborg Blocker,Link Monster
13143275,Guardragon Pisty,Link Monster
13183454,Ice Princess Zereort,XYZ Monster
13203964,Perfectron Hydradrive Dragon,Link Monster
13243124,Favorite HERO Flame Wingman,Fusion Monster
13289758,"Gaia Stream, the Graceful Force",XYZ Monster
13293158,Evil HERO Wild Cyclone,Fusion Monster
13298352,Yaguramaru the Armor Ninja,Fusion Monster
13331639,Supreme King Z-ARC,Pendulum Effect Fusion Monster
13452889,Vector Scare Archfiend,Link Monster
13455674,Crystron Quariongandrax,Synchro Monster
13529466,Invoked Caliga,Fusion Monster
13536606,V-LAN Hydra,Link Monster
13574687,Turbo Cannon,Synchro Monster
13708888,Evil HERO Neos Lord,Fusion Monster
13722870,Dark Flare Knight,Fusion Monster
13735899,Mysterion the Dragon Crown,Fusion Monster
13756293,King Dragun,Fusion Monster
13803864,Mokey Mokey King,Fusion Monster
13857930,Neo-Spacian Twinkle Moss,Fusion Monster
13995824,Voltic Bicorn,Synchro Monster
14017402,Dragon Knight Draco-Equiste,Fusion Monster
14152862,Norito the Moral Leader,XYZ Monster
14225239,Elemental HERO Mariner,Fusion Monster
14301396,Heroic Champion - Magnum Excalibur,XYZ Monster
14306092,Shark Caesar,XYZ Monster
14307929,"Diabell, Queen of the White Forest",Synchro Monster
14365823,Trickstar Divaridis,Link Monster
14529511,Mementomictlan Tecuhtlica - Creation King,Fusion Monster
14577226,Windwitch - Winter Bell,Synchro Monster
14812471,Salamangreat Balelynx,Link Monster
14970113,Zoodiac Hammerkong,XYZ Monster
15028680,HTS Psyhemuth,Synchro Monster
15092394,Raidraptor - Stranger Falcon,XYZ Monster
15123983,THE Star Ham,Synchro Monster
15232745,Number 1: Numeron Gate Ekam,XYZ Monster
15237615,Empress Judge,Fusion Monster
15240238,Mist Bird Clausolas,Synchro Monster
15248594,Geomathmech Magma,Synchro Tuner Monster
15291624,Thunder Dragon Colossus,Fusion Monster
15561463,Gauntlet Launcher,XYZ Monster
15627227,Overburst Dragon,Link Monster
15661378,"Trishula, the Dragon of Icy Imprisonment",Fusion Monster
15665977,Kewl Tune RS,Synchro Tuner Monster
15778492,Gaming Gamer GG,XYZ Monster
15844566,Powercode Talker,Link Monster
15862758,Number iC1000: Numerounius Numerounia,XYZ Monster
15914410,Mechquipped Angineer,XYZ Monster
15939229,D/D/D Duo-Dawn King Kali Yuga,XYZ Monster
15982593,Centur-Ion Legatia,Synchro Monster
15989522,Gaia the Magical Knight of Dragons,Fusion Monster
16006416,D/D/D Flame High King Genghis,Fusion Monster
16037007,Number 74: Master of Blades,XYZ Monster
16051717,Assault Blackwing - Raikiri the Rain Shower,Synchro Monster
16110708,Number S38: Titanic Galaxy,XYZ Monster
16114248,Pair Cycroid,Fusion Monster
16172067,Tyrant Red Dragon Archfiend,Synchro Monster
16195942,Dark Rebellion Xyz Dragon,XYZ Monster
16246535,Silent Psychic Magician,Synchro Tuner Monster
16259549,Number 49: Fortune Tune,XYZ Monster
16304628,Elemental HERO Gaia,Fusion Monster
16327715,Junk Warrior Extreme,Synchro Monster
16507828,Bracchio-raidus,Fusion Monster
16527176,Naturia Leodrake,Synchro Monster
16643334,Starliege Photon Blast Dragon,XYZ Monster
16691074,Odd-Eyes Absolute Dragon,XYZ Monster
16699558,Indigo-Eyes Silver Dragon,XYZ Monster
16926971,Firewall Saber Dragon,Synchro Monster
16955631,Giant Mimighoul,XYZ Monster
17016362,Performage Trapeze Magician,XYZ Monster
17032740,Elemental HERO Chaos Neos,Fusion Monster
17217034,Combined Maneuver - Engage Zero!,Link Monster
17377751,Blackwing - Gram the Shining Star,Synchro Monster
17382973,Prank-Kids Dodo-Doodle-Doo,Link Monster
17412721,Elder Entity Norden,Fusion Monster
17548456,Jurrac Meteor,Synchro Monster
17739335,"Zerrziel, Ruler of the Evil Eyed",Link Monster
17745969,Super Vehicroid - Mobile Base,Fusion Monster
17749468,Azamina,Fusion Monster
17760003,Genex Ally Triarm,Synchro Monster
17775525,Superheavy Samurai Steam Train King,Synchro Monster
17856505,Pumpking the Great Ghost King,XYZ Monster
17881964,Darkfire Dragon,Fusion Monster
17994645,Assault Blackwing - Sayo the Rain Hider,Synchro Monster
18013090,Nitro Warrior,Synchro Monster
18239909,"Ignister Prominence, the Blasting Dracoslayer",Synchro Monster
18313046,Ukiyoe-P.U.N.K. Rising Carp,Fusion Monster
18326736,Tellarknight Ptolemaeus,XYZ Monster
18386170,"Dante, Pilgrim of the Burning Abyss",Fusion Monster
18511599,Evolzar Solda,XYZ Monster
18514525,Prank-Kids Rocket Ride,Fusion Monster
18666161,Despian Proskenion,Fusion Monster
18832779,Plunder Patrollship Lys,Fusion Monster
18843291,"Minerva, the Athenian Lightsworn",Synchro Monster
18897163,D/D/D Super Doom King Dark Armageddon,XYZ Pendulum Effect Monster
18963306,Galaxy-Eyes Cipher Dragon,XYZ Monster
18967507,Cyberdarkness Dragon,Fusion Monster
18969888,Sangenpai Transcendent Dragion,Synchro Monster
19048328,"Chaofeng, Phantom of the Yang Zing",Synchro Monster
19066538,Roaring Ocean Snake,Fusion Monster
19181420,Mementotlan Twin Dragon,Fusion Monster
19204398,Ally of Justice Light Gazer,Synchro Monster
19222426,Elemental HERO Thunder Giant - Voltic Thunder,Fusion Monster
19261966,El Shaddoll Anoyatyllis,Fusion Monster
19324993,Xtra HERO Infernal Devicer,Link Monster
19333131,Number 12: Crimson Shadow Armor Ninja,XYZ Monster
19355597,Gem-Knight Lady Brilliant Diamond,Fusion Monster
19369609,Lyrilusc - Promenade Thrush,XYZ Monster
19652159,Light and Darkness Dragonlord,Fusion Monster
19684740,Fairy Knight Ingunar,XYZ Monster
19747827,Red-Eyes Black Dragon Sword,Fusion Monster
19891310,Geargiagear Gigant XG,XYZ Monster
19974580,Iron Chain Dragon,Synchro Monster
20145685,Xyz Armor Fortress,XYZ Monster
20248754,Plunder Patrollship Moerk,XYZ Monster
20265095,Brotherhood of the Fire Fist - Peacock,Link Monster
20343502,Madolche Teacher Glassouffle,XYZ Monster
20366274,El Shaddoll Construct,Fusion Monster
20374351,Laval Stennon,Synchro Monster
20515672,S-Force Nightchaser,Link Monster
20563387,Number C80: Requiem in Berserk,XYZ Monster
20665527,Amphibious Swarmship Amblowhale,Link Monster
20714553,"Endymion, the Crescent Magistus",Link Monster
20785975,Number C103: Ragnafinity,XYZ Monster
20934852,Marincess Aqua Argonaut,Link Monster
21044178,Abyss Dweller,XYZ Monster
21065189,Firewall eXceed Dragon,XYZ Monster
21113684,Supreme Arcanite Magician,Fusion Monster
21123811,Cosmic Blazar Dragon,Synchro Monster
21140872,Red-Eyes Slash Dragon,Fusion Monster
21175632,St. Joan,Fusion Monster
21187631,Altergeist Dragvirion,Synchro Monster
21200905,Aromaseraphy Jasmine,Link Monster
21223277,"Artorigus, King of the Noble Knights",XYZ Monster
21225115,Fossil Dragon Skullgios,Fusion Monster
21249921,Dragunity Knight - Vajrayana,Synchro Monster
21281085,Fabled Levilazebul,Synchro Monster
21293424,Gunkan Suship Shirauo-class Carrier,XYZ Monster
21313376,Number 14: Greedy Sarameya,XYZ Monster
21368273,Mannadium Trisukta,Synchro Tuner Monster
21435914,Dragocytos Corrupted Nethersoul Dragon,Synchro Monster
21501505,"Cairngorgon, Antiluminescent Knight",XYZ Monster
21516908,Hi-Speedroid Hagoita,Synchro Monster
21521304,Number 39: Utopia Beyond,XYZ Monster
21637210,Firewall Dragon Singularity,Link Monster
21848500,Maliss <Q> Hearts Crypter,Link Monster
21858819,Number XX: Utopic Dark Infinity,XYZ Monster
21861412,Flux Ochsenfeld,Fusion Monster
21887175,Mekk-Knight Crusadia Avramax,Link Monster
21903613,Sylvan Dancepione,Link Monster
21915012,Cupid Pitch,Synchro Tuner Monster
21947653,Evil HERO Lightning Golem,Fusion Monster
22061412,Elemental HERO The Shining,Fusion Monster
22070401,Starving Venemy Lethal Dose Dragon,Pendulum Effect Fusion Monster
22093873,Masked HERO Divine Wind,Fusion Monster
22110647,Mecha Phantom Beast Dracossack,XYZ Monster
22125101,Beyond the Pendulum,Link Monster
22160245,Evil HERO Inferno Wing,Fusion Monster
22390469,Gold Pride - Star Leon,Synchro Monster
22423493,Qliphort Genius,Link Monster
22510667,Gouki The Solid Ogre,Link Monster
22593417,Topologic Gumblar Dragon,Link Monster
22638495,"Dinoster Power, the Mighty Dracoslayer",Fusion Monster
22653490,Lightning Chidori,XYZ Monster
22723778,"Clorless, Chaos King of Dark World",Fusion Monster
22804644,Doom Virus Dragon,Fusion Monster
22850702,Chaos Angel,Synchro Monster
22858242,Zeman the Ape King,Synchro Monster
22862454,Proxy Dragon,Link Monster
22900219,Dinowrestler Chimera T Wrextle,Fusion Monster
22908820,Elemental HERO Sunrise,Fusion Monster
22953211,Bellcat Fighter,Link Monster
23085002,Number 68: Sanaphond the Sky Prison,XYZ Monster
23187256,Number 93: Utopia Kaiser,XYZ Monster
23204029,Contrast HERO Chaos,Fusion Monster
23232295,Battlin' Boxer Lead Yoke,XYZ Monster
23338098,Assault Blackwing - Chidori the Rain Sprinkling,Synchro Monster
23361526,Hi-Speedroid Cork Shooter,Synchro Tuner Monster
23454876,CXyz Dark Fairy Cheer Girl,XYZ Monster
23530726,Surgical Striker - S.P.E.C.T.R.A.,Link Monster
23545031,Mermail Abyssalacia,Link Monster
23603403,Raidraptor - Satellite Cannon Falcon,XYZ Monster
23649496,Number 18: Heraldry Patriarch,XYZ Monster
23656668,Gravity Controller,Link Monster
23672629,Valiant Shark Lancer,XYZ Monster
23689428,Infinitrack Goliath,Link Monster
23693634,Colossal Fighter,Synchro Monster
23732205,Dillingerous Dragon,Link Monster
23776077,Hazy Flame Basiltrice,XYZ Monster
23790299,Altergeist Memorygant,Link Monster
23804920,Divine Scorpion Beast of Serket,Fusion Monster
23848752,Heroic Champion - Jarngreipr,XYZ Monster
23874409,"Karakuri Shogun mdl 00 ""Burei""",Synchro Monster
23935886,Draco Masters of the Tenyi,Link Monster
23965033,Amazoness Augusta,Fusion Monster
23971061,Doublebyte Dragon,Link Monster
23995346,Blue-Eyes Ultimate Dragon,Fusion Monster
23998625,Number 53: Heart-eartH,XYZ Monster
24070330,Symphonic Warrior Rockks,Synchro Pendulum Effect Monster
24094258,Heavymetalfoes Electrumite,Link Monster
24151924,G Golem Invalid Dolmen,Link Monster
24221808,Overmind Archfiend,Synchro Monster
24232799,Storagepod,Fusion Monster
24269961,Unchained Soul Lord of Yama,Link Monster
24361622,Hieratic Seal of the Heavenly Spheres,Link Monster
24434049,Epurrely Plump,XYZ Monster
24484270,Gem-Knight Phantom Quartz,Link Monster
24487411,Detonate Deleter,Link Monster
24550676,Lunalight Leo Dancer,Fusion Monster
24634594,Diabolantis the Menacing Mantis,Synchro Monster
24672164,Bloom Prima the Melodious Choir,Fusion Monster
24696097,Shooting Star Dragon,Synchro Monster
24701066,Infinitrack River Stormer,XYZ Monster
24799107,Dragonmaid Sheou,Fusion Monster
24842059,Linguriboh,Link Monster
24882256,Fire Phoenix @Ignister,Link Monster
24915933,Granguignol the Dusk Dragon,Fusion Monster
24943456,T.G. Power Gladiator,Synchro Monster
